total words: 79019
near, count: 31
plan, count: 3
campaign, count: 2
evidently, count: 13
important, count: 19
lawyer, count: 7
sounded, count: 2
ominous, count: 3
relation, count: 3
object, count: 15
repeated, count: 5
visits, count: 3
mistress, count: 4
probably, count: 15
transferred, count: 2
keeping, count: 4
latter, count: 10
likely, count: 24
issue, count: 2
depended, count: 1
whether, count: 43
continue, count: 9
turn, count: 30
gentlemans, count: 3
chambers, count: 3
widened, count: 2
field, count: 9
fear, count: 28
bore, count: 5
details, count: 19
difficulties, count: 3
balancing, count: 2
hansom, count: 6
cab, count: 26
drove, count: 26
remarkably, count: 3
aquiline, count: 2
moustachedevidently, count: 1
hurry, count: 9
shouted, count: 9
wait, count: 19
brushed, count: 3
maid, count: 19
air, count: 26
thoroughly, count: 9
catch, count: 8
glimpses, count: 1
talking, count: 9
excitedly, count: 1
waving, count: 2
arms, count: 16
presently, count: 9
looking, count: 43
flurried, count: 1
stepped, count: 9
pulled, count: 17
watch, count: 7
pocket, count: 22
earnestly, count: 5
drive, count: 18
devil, count: 6
gross, count: 2
hankeys, count: 1
regent, count: 2
church, count: 14
monica, count: 3
edgeware, count: 2
guinea, count: 1
twenty, count: 12
minutes!, count: 2
went, count: 68
wondering, count: 5
neat, count: 5
landau, count: 4
coachman, count: 3
halfbuttoned, count: 2
tie, count: 5
ear, count: 9
tags, count: 1
sticking, count: 2
buckles, count: 1
hadnt, count: 3
shot, count: 13
glimpse, count: 7
lovely, count: 5
die, count: 2
john, count: 25
sovereign, count: 5
reach, count: 12
lose, count: 10
run, count: 14
perch, count: 2
driver, count: 4
shabby, count: 1
fare, count: 3
jumped, count: 3
twentyfive, count: 2
twelve, count: 8
wind, count: 10
cabby, count: 1
fast, count: 2
faster, count: 2
others, count: 19
steaming, count: 1
arrived, count: 16
paid, count: 9
hurried, count: 22
surpliced, count: 1
clergyman, count: 7
seemed, count: 67
expostulating, count: 1
standing, count: 23
knot, count: 3
altar, count: 6
aisle, count: 1
idler, count: 1
dropped, count: 16
suddenly, count: 47
faced, count: 6
running, count: 13
hard, count: 27
towards, count: 20
thank, count: 26
god, count: 18
youll, count: 10
come!, count: 6
wont, count: 19
halfdragged, count: 1
mumbling, count: 2
responses, count: 1
whispered, count: 16
vouching, count: 1
generally, count: 5
assisting, count: 2
secure, count: 9
tying, count: 1
spinster, count: 1
done, count: 67
instant, count: 31
thanking, count: 1
lady, count: 70
beamed, count: 1
life, count: 47
started, count: 24
seems, count: 28
informality, count: 1
license, count: 2
refused, count: 7
witness, count: 15
sort, count: 23
lucky, count: 3
saved, count: 7
bridegroom, count: 7
having, count: 68
sally, count: 1
streets, count: 12
search, count: 11
bride, count: 6
mean, count: 20
watchchain, count: 2
occasion, count: 5
unexpected, count: 2
affairs, count: 10
plans, count: 7
menaced, count: 1
immediate, count: 1
departure, count: 2
necessitate, count: 1
prompt, count: 6
measures, count: 2
separated, count: 2
driving, count: 6
park, count: 8
usual, count: 13
different, count: 13
directions, count: 2
off, count: 74
arrangements, count: 3
beef, count: 3
beer, count: 3
ringing, count: 2
busy, count: 7
food, count: 1
busier, count: 1
evening, count: 36
cooperation, count: 3
delighted, count: 4
breaking, count: 8
law, count: 11
nor, count: 18
chance, count: 25
arrest, count: 5
cause, count: 20
excellent!, count: 3
rely, count: 5
wish, count: 44
mrs, count: 44
turner, count: 20
brought, count: 50
tray, count: 1
hungrily, count: 1
provided, count: 4
discuss, count: 5
eat, count: 3
nearly, count: 13
hours, count: 23
action, count: 12
madame, count: 1
meet, count: 17
leave, count: 48
arranged, count: 5
occur, count: 7
insist, count: 2
interfere, count: 4
neutral, count: 2
whatever, count: 16
unpleasantness, count: 1
join, count: 3
conveyed, count: 6
afterwards, count: 18
visible, count: 5
raise, count: 13
handsoyou, count: 1
same, count: 56
cry, count: 28
entirely, count: 19
formidable, count: 7
taking, count: 15
cigarshaped, count: 1
roll, count: 1
ordinary, count: 6
plumbers, count: 1
smokerocket, count: 2
fitted, count: 5
cap, count: 6
selflighting, count: 1
task, count: 6
confined, count: 4
number, count: 12
rejoin, count: 1
ten, count: 30
hope, count: 31
remain, count: 8
get, count: 62
signal, count: 7
excellent, count: 15
prepare, count: 1
role, count: 1
play, count: 10
disappeared, count: 9
amiable, count: 6
simpleminded, count: 1
nonconformist, count: 1
baggy, count: 2
trousers, count: 7
sympathetic, count: 2
smile, count: 7
general, count: 8
peering, count: 4
benevolent, count: 1
curiosity, count: 9
hare, count: 1
equalled, count: 1
costume, count: 3
expression, count: 8
vary, count: 1
fresh, count: 20
assumed, count: 2
stage, count: 3
fine, count: 11
actor, count: 2
science, count: 2
acute, count: 3
specialist, count: 1
ourselves, count: 20
dusk, count: 2
lamps, count: 2
lighted, count: 1
waiting, count: 32
coming, count: 28
occupant, count: 4
pictured, count: 1
succinct, count: 1
description, count: 8
locality, count: 1
contrary, count: 11
quiet, count: 20
animated, count: 2
group, count: 3
shabbily, count: 1
dressed, count: 22
smoking, count: 3
scissorsgrinder, count: 2
wheel, count: 1
guardsmen, count: 3
flirting, count: 1
nursegirl, count: 1
several, count: 30
welldressed, count: 2
mouths, count: 1
fro, count: 3
